Product Name,Category Name,Reference Part Number,Description,SKU,Stok per tgl 18 May 2025,Lokasi Stok,,Notes
First Product,Category Name,"ABC11,EFG22,HIJ33",Product Description,ABC,,,,pastikan masing2 nama produk unik (tidak ada persamaan dengan data lainnya)
AIR FILTER,,,-,-,,,,pastikan kategori barang ada di database
3032473,Oil Separator,39894597 = 54601513 = 88248950 = 36876472 = DB 2473,-,-,7,"6pcs Jakarta, 1pcs Surabaya",,
3032475,Oil Separator,39863857 = 39831904 = DB 2475,-,-,4,Jakarta,,
3038045,Oil Separator,2238-8045,-,-,3,Jakarta,,
3039174,Oil Separator,22219174,-,-,2,Jakarta,,
3039500,Oil Separator,DB 2525 = 5450-9500,-,-,0,Jakarta,,
3042006,Oil Separator,250034-114 = 02250137-895,-,-,2,Jakarta,,
3051059,Oil Separator,BK 3842400 = DA 1059,-,-,4,"2pcs Jakarta, 2pcs Surabaya",,
3051070,Oil Separator,5903-1070 = 5232-3020,-,-,0,,,
3051077,Oil Separator,DA 1077,-,-,5,Jakarta,,
3051080,Oil Separator,5903-1080,-,-,5,"2pcs Jakarta, 3pcs Jakarta",,
3051090,Oil Separator,5903-1090,-,-,6,Jakarta,,
3051610,Oil Separator,59061610,-,-,0,,,
3052104,Oil Separator,100005424 = DB 2104,-,-,5,Jakarta,,
3052490,Oil Separator,5906-2490,-,-,2,"1pcs Jakarta, 1pcs Surabaya",,
3053188,Oil Separator,3053188,-,-,1,Jakarta,,
3080289,Oil Separator,1092-2002-89,-,-,4,Jakarta,,
3081912,Oil Separator,39831912,-,-,2,Jakarta,,
3072107,Oil Separator,A11427274,-,-,1,Jakarta,,
3085501,Oil Separator,3422005501,-,-,2,Jakarta,,
30021010,Oil Separator,05V.21.010,-,-,5,"4pcs Jakarta, 1pcs Surabaya",,
30714428,Oil Separator,100014428,-,-,1,Jakarta,,
30746910,Oil Separator,71131211-46910,-,-,0,,,
301151888,Oil Separator,6.2132.0 = SOC 151888 = 6.3535.0,-,-,8,"7pcs Jakarta, 1pcs Surabaya",,
308561340,Oil Separator,561340 (Champion),-,-,0,,,
3005525155,Oil Separator,3005525155 = 1055151PV 55/25/150 MM,-,-,0,,,
2400515 KC,Oil Separator, 2400515 KC = 115.30.400.0515,-,-,0,,,
300110-003,Oil Separator,6.1963.0  = 6.2011.0/1,-,-,13,Jakarta,,
3001230SA,Oil Separator,3001230SA (Tjakrindo),-,-,3,Jakarta,,
3001272SA,Oil Separator,3001272SA,-,-,2,Jakarta,,
3002620SA,Oil Separator,for SAPM 37 A (tahun 2023),-,-,2,Jakarta,,
30030SA,Oil Separator,30030SA = 30D-01-230,-,-,3,Jakarta,,
3003204SA,Oil Separator,3003204SA =  for SAPM 15 A = MSE 15 A = MSE 22 A = SAPM 22 A,-,-,3,Jakarta,,
3005060SA,Oil Separator,50A-02-230 = HD 564(sanfam),-,-,0,,,
300575-1/2/3,Oil Separator,1614-5673-00 = DF 5003,-,-,21,"17pcs Jakarta, 4pcs Surabaya",,
